
166.5.110.252	"02:20 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:24 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:28 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:30 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:38 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:39 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:40 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:45 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:47 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:49 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:50 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"02:52 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:09 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:13 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:14 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:17 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:19 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:28 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:29 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:31 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:32 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:33 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:50 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:53 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:54 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:57 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:58 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"03:59 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:01 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:04 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:46 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:47 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:48 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:51 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:54 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:55 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:56 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:57 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:58 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"04:59 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:00 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:03 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:05 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:06 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:06 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:08 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:13 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.5.110.252	"05:14 pm  Monday April 4, 2011"	"Mount Laguna, CA +"	  32.86	 116.42
166.3.89.222	"09:42 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"09:43 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"09:45 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"09:50 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"09:52 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"09:56 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:03 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:23 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:42 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:43 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:44 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:48 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:50 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
166.3.89.222	"10:51 am  Tuesday April 5, 2011"	"UBC +"	  36.77	 105.35
170.144.109.119	"12:37 pm  Monday April 11, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.6.161.23	"01:12 pm  Monday April 11, 2011"	"MOSCOW U OF I ID"	  46.73	-117.00
170.144.90.206	"02:14 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:19 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:22 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:40 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:41 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:43 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:44 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:49 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:54 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:55 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"02:57 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"03:01 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"03:02 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.90.206	"03:03 pm  Monday April 11, 2011"	"Mt Laguna +"	  32.87	 116.43
170.144.111.219	"10:51 am  Tuesday April 12, 2011"	"MOUNT SHASTA CA"	  41.32	-122.32
217.219.171.2	"01:24 pm  Tuesday April 12, 2011"	"SEXTON SUMMIT WB OR"	  42.62	-123.37
166.2.97.230	"10:06 am  Sunday April 17, 2011"	"FERRON UT"	  39.08	-111.13
166.2.97.230	"10:16 am  Sunday April 17, 2011"	"FERRON UT"	  39.08	-111.13
166.2.97.230	"10:21 am  Sunday April 17, 2011"	"FERRON UT"	  39.08	-111.13
170.144.69.66	"12:29 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:35 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:39 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:41 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:44 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:46 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:48 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"01:49 pm  Tuesday April 19, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"10:52 am  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"10:54 am  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"10:55 am  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"10:59 am  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:22 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:25 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:27 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:28 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:30 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:31 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:34 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:36 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:37 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
131.94.242.25	"02:45 pm  Wednesday April 20, 2011"	"Sheep Climate +"	  39.59	 122.81
134.114.212.186	"04:19 pm  Friday April 22, 2011"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
200.23.135.194	"09:49 am  Monday April 25, 2011"	"SEELEY LAKE RS MT 22.55 +"	  47.14	 113.60
170.144.72.103	"06:21 am  Tuesday April 26, 2011"	"MOSCOW U OF I ID"	  46.73	-117.00
110.212.187.230	"09:02 am  Thursday April 28, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.2.22.189	"10:54 am  Thursday April 28, 2011"	"SOUTH ENTRANCE YNP CA"	  37.50	-119.50
200.23.26.253	"11:40 am  Thursday April 28, 2011"	"DENVER WB AP CO"	  39.77	-104.88
200.23.26.253	"02:39 pm  Thursday April 28, 2011"	"DENVER WB AP CO"	  39.77	-104.88
166.3.65.177	"04:03 pm  Tuesday May 3, 2011"	"Apache Maid AZ +"	  34.70	 111.90
