
128.101.73.206	01:20 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	01:20 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	01:20 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	01:21 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	01:21 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	01:22 pm  Monday February 28, 2011	30	1	  Wolf Ridge +                          
128.101.73.206	01:23 pm  Monday February 28, 2011	30	1	  isabella +                            
128.101.73.206	01:26 pm  Monday February 28, 2011	30	5	  wolf2 +                               
128.101.73.206	01:33 pm  Monday February 28, 2011	30	1	  wolf2 +                               
128.101.73.206	01:38 pm  Monday February 28, 2011	30	4	  wolf2 +                               
128.101.73.206	01:51 pm  Monday February 28, 2011	30	1	  TWO HARBORS MN                        
128.101.73.206	01:53 pm  Monday February 28, 2011	30	1	  TWO HARBORS MN                        
128.101.73.206	03:00 pm  Monday February 28, 2011	30	1	  GRAND MARAIS CST GD MN                
128.101.73.206	03:01 pm  Monday February 28, 2011	30	1	  GRAND MARAIS CST GD MN                
128.101.73.206	03:01 pm  Monday February 28, 2011	30	1	  Lutsen3nne +                          
128.101.73.206	03:02 pm  Monday February 28, 2011	30	1	  Lutsen3nne +                          
166.7.149.189	07:22 am  Wednesday March 2, 2011	50	2	  LibbyTailings +                       
166.7.136.95	07:24 am  Wednesday March 9, 2011	30	11	  schweitzer +                          
166.7.136.95	07:29 am  Wednesday March 9, 2011	30	11	  SANDPOINT EXP STA ID                  
166.7.136.95	07:35 am  Wednesday March 9, 2011	50	11	  SANDPOINT EXP STA ID                  
166.7.136.95	07:45 am  Wednesday March 9, 2011	50	9	  SANDPOINT EXP STA ID                  
166.7.136.95	07:47 am  Wednesday March 9, 2011	50	9	  SANDPOINT EXP STA ID                  
166.7.136.95	08:12 am  Wednesday March 9, 2011	50	11	  SANDPOINT EXP STA ID                  
166.7.136.95	08:14 am  Wednesday March 9, 2011	50	12	  SANDPOINT EXP STA ID                  
166.7.136.95	12:55 pm  Wednesday March 9, 2011	30	11	  schweitzer +                          
166.7.136.95	12:56 pm  Wednesday March 9, 2011	30	11	  schweitzer +                          
12.17.162.50	03:09 pm  Wednesday March 9, 2011	30	41	  SECESH FACE +                         
12.17.162.50	03:53 pm  Wednesday March 9, 2011	30	41	  SECESH FACE +                         
12.17.162.50	04:33 pm  Wednesday March 9, 2011	30	29	  SECESH FACE +                         
12.17.162.50	07:03 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
12.17.162.50	07:17 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
12.17.162.50	07:21 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
12.17.162.50	07:24 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
12.17.162.50	07:26 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
12.17.162.50	07:29 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
12.17.162.50	08:19 am  Thursday March 10, 2011	30	5	  SECESH FACE +                         
12.17.162.50	08:30 am  Thursday March 10, 2011	30	10	  SECESH FACE +                         
12.17.162.50	08:31 am  Thursday March 10, 2011	30	4	  SECESH FACE +                         
