
166.2.16.215	"02:46 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:47 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:48 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:49 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:50 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:51 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:52 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:54 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:55 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:56 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:58 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"02:58 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:00 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:00 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:02 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:03 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:04 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:05 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:06 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:07 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:08 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:09 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:10 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.2.16.215	"03:11 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.6.82.46	"03:11 pm  Monday January 3, 2011"	30	"MOUNT SHASTA CA"	  41.32	-122.32
166.6.82.46	"03:11 pm  Monday January 3, 2011"	30	"MOUNT SHASTA CA"	  41.32	-122.32
166.2.16.215	"03:12 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
166.6.82.46	"03:12 pm  Monday January 3, 2011"	30	"MOUNT SHASTA CA"	  41.32	-122.32
166.6.82.46	"03:12 pm  Monday January 3, 2011"	30	"MOUNT SHASTA CA"	  41.32	-122.32
166.2.16.215	"03:13 pm  Monday January 3, 2011"	30	"DEADWOOD DAM ID"	  44.32	-115.63
