
65.110.254.159	"07:58 am  Wednesday February 10, 2016"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
204.124.92.254	"02:02 pm  Wednesday February 10, 2016"	"Lewistown +"	  46.65	-112.27
204.124.92.254	"02:11 pm  Wednesday February 10, 2016"	"Lewistown +"	  46.65	-112.27
193.145.230.8	"09:21 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:22 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
166.7.163.89	"09:22 am  Thursday February 11, 2016"	"SYLVAN CREEK ID +"	  46.52	 115.73
193.145.230.8	"09:22 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:23 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
166.7.163.89	"09:23 am  Thursday February 11, 2016"	"SYLVAN CREEK ID +"	  46.52	 115.73
193.145.230.8	"09:24 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:24 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:24 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
166.7.163.89	"09:24 am  Thursday February 11, 2016"	"SYLVAN CREEK ID +"	  46.52	 115.73
193.145.230.8	"09:25 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:25 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:38 am  Thursday February 11, 2016"	""	  41.97	   2.83
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"Alicante_aerport1, Spain + + +"	  38.28	   0.57
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"Alicante_airport, Spain + +"	  41.97	   2.83
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"alicante_aeropueto +"	  38.28	   0.57
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"Alicante, Spain + +"	  41.97	   2.83
193.145.230.8	"09:45 am  Thursday February 11, 2016"	"DENVER WB AP CO"	  39.77	-104.88
193.145.230.8	"09:46 am  Thursday February 11, 2016"	"Alicante_aerport, Spain + +"	  38.28	   0.57
193.145.230.8	"09:46 am  Thursday February 11, 2016"	"Alicante_aeroport,Spain +"	  38.28	   0.57
