166.7.74.185	12:17 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	12:17 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:05 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:07 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:08 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:10 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:25 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:26 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
72.95.126.9	01:27 pm  Wednesday January 13, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
72.95.126.9	01:27 pm  Wednesday January 13, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.7.74.185	01:27 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
72.95.126.9	01:28 pm  Wednesday January 13, 2010	1	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
72.95.126.9	01:28 pm  Wednesday January 13, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.7.74.185	01:28 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
72.95.126.9	01:29 pm  Wednesday January 13, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
72.95.126.9	01:30 pm  Wednesday January 13, 2010	30	  AUGUSTA CAA AIRPORT ME                	 LATT=  44.32 LONG= -69.80
166.7.74.185	01:49 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:50 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:52 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:53 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:54 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:54 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:54 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	01:55 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	02:00 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	02:01 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	02:02 pm  Wednesday January 13, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
208.80.193.27	01:46 am  Thursday January 14, 2010	1		
166.7.74.185	06:38 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:38 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:38 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:39 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:45 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:46 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:47 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:48 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	06:48 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:12 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:13 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:30 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:31 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:32 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:32 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:35 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:36 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:37 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:40 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:40 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:40 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:41 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:54 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:55 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:55 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:56 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:57 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
166.7.74.185	07:58 am  Thursday January 14, 2010	30	  HomestakePass MT +                    	 LATT=  45.90 LONG= 112.40
