174.193.133.234	"04:36 pm  Sunday September 6, 2020"	780	2017.02.03	"*_ANF_Lake_Fire_ "
174.193.133.234	"04:39 pm  Sunday September 6, 2020"	773	2017.02.03	"*_ANF_Lake_Fire_ "
174.193.133.234	"04:40 pm  Sunday September 6, 2020"	773	2018.04.01	"*_ANF_Lake_Fire_ "
12.231.168.2	"06:32 pm  Sunday September 6, 2020"	773	2018.04.01	"*_ANF_Lake_Fire_ "
12.231.168.2	"06:36 pm  Sunday September 6, 2020"	515	2018.04.01	"*_ANF_Lake_Fire_ "
12.231.168.2	"06:37 pm  Sunday September 6, 2020"	515	2018.04.01	"*_ANF_Lake_Fire_ "
12.231.168.2	"06:39 pm  Sunday September 6, 2020"	268	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"07:15 pm  Sunday September 6, 2020"	145	2018.04.01	"*_ANF_Lake_Fire_ "
68.189.12.146	"07:20 pm  Sunday September 6, 2020"	983	2018.04.01	"*_CZU_Complex_2_(BigBasin)_ _ "
170.144.246.251	"07:53 pm  Sunday September 6, 2020"	145	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"08:12 pm  Sunday September 6, 2020"	59	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"08:31 pm  Sunday September 6, 2020"	59	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"08:41 pm  Sunday September 6, 2020"	51	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"08:53 pm  Sunday September 6, 2020"	51	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"09:03 pm  Sunday September 6, 2020"	93	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"09:28 pm  Sunday September 6, 2020"	93	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"09:39 pm  Sunday September 6, 2020"	64	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"10:02 pm  Sunday September 6, 2020"	64	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"10:20 pm  Sunday September 6, 2020"	80	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"10:39 pm  Sunday September 6, 2020"	80	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"10:50 pm  Sunday September 6, 2020"	114	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"11:21 pm  Sunday September 6, 2020"	114	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"11:35 pm  Sunday September 6, 2020"	52	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"11:50 pm  Sunday September 6, 2020"	52	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"11:56 pm  Sunday September 6, 2020"	69	2018.04.01	"*_ANF_Lake_Fire_ "
170.144.246.251	"00:17 am  Monday September 7, 2020"	69	2018.04.01	"*_ANF_Lake_Fire_ "
68.189.12.146	"03:47 pm  Monday September 7, 2020"	124	2018.04.01	"*_SCU_Pt6_ "
68.189.12.146	"04:20 pm  Monday September 7, 2020"	124	2018.04.01	"*_SCU_Pt6_ "
68.189.12.146	"05:37 pm  Monday September 7, 2020"	132	2018.04.01	"*_SCU_Pt6_ "
68.189.12.146	"06:09 pm  Monday September 7, 2020"	132	2018.04.01	"*_SCU_Pt6_ "
68.189.12.146	"07:54 pm  Monday September 7, 2020"	260	2018.04.01	"*_SCU_Pt1_ "
68.189.12.146	"09:21 pm  Monday September 7, 2020"	260	2018.04.01	"*_SCU_Pt1_ "
170.144.247.211	"12:16 pm  Wednesday September 9, 2020"	102	2018.04.01	"*_MIAMI_AZ_Griffin_ "
68.189.12.146	"02:12 pm  Wednesday September 9, 2020"	240	2018.04.01	"*_SCU_Pt2_ "
68.189.12.146	"03:38 pm  Wednesday September 9, 2020"	240	2018.04.01	"*_SCU_Pt2_ "
170.144.246.102	"03:38 pm  Wednesday September 9, 2020"	3	2018.04.01	"*_MIAMI_AZ_PRISM_LSM2_ "
170.144.246.102	"03:47 pm  Wednesday September 9, 2020"	28	2018.04.01	"*_MIAMI_AZ_PRISM_LSM3_ "
170.144.246.102	"03:54 pm  Wednesday September 9, 2020"	68	2018.04.01	"*_MIAMI_AZ_PRISM_LSM4_ "
170.144.246.102	"04:09 pm  Wednesday September 9, 2020"	68	2018.04.01	"*_MIAMI_AZ_PRISM_LSM4_ "
170.144.246.102	"04:29 pm  Wednesday September 9, 2020"	6	2018.04.01	"*_MIAMI_AZ_PRISM_LSM5_ "
170.144.246.102	"04:31 pm  Wednesday September 9, 2020"	68	2018.04.01	"*_MIAMI_AZ_PRISM_LSM4_ "
68.189.12.146	"07:46 pm  Wednesday September 9, 2020"	368	2018.04.01	"*_SCU_Pt_5_ "
68.189.12.146	"05:50 am  Thursday September 10, 2020"	368	2018.04.01	"*_SCU_Pt_5_ "
68.189.12.146	"11:03 am  Friday September 11, 2020"	316	2018.04.01	"*_SCU_Pt8_ "
