203.6.146.5	"09:45 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:45 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:45 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:46 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:46 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:53 pm  Thursday January 22, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
138.67.40.136	"11:06 am  Friday January 23, 2015"	"DENVER WB AP CO"	  39.77	-104.88
203.6.146.5	"03:04 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:12 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:22 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:28 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:33 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:37 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:41 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:53 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"03:59 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"04:04 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"04:37 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"04:40 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"04:45 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"04:50 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"04:59 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:06 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:12 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:19 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:24 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:29 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:34 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:39 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:44 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:48 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:54 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:02 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:16 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:18 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:21 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:25 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:29 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:39 pm  Monday January 26, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
10.62.6.24	"03:00 pm  Tuesday January 27, 2015"	"MOUNT SHASTA CA"	  41.32	-122.32
173.86.74.114	"03:37 pm  Tuesday January 27, 2015"	"WHITERIVER AZ"	  33.83	-109.97
203.6.146.5	"05:38 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:38 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:41 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:41 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:42 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"05:42 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"07:55 pm  Tuesday January 27, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
141.78.228.93	"05:49 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.67	"05:49 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.67	"05:53 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.67	"05:55 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.222.89	"07:39 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.247.86	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.68	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.247.16	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.79	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.220.240	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.14	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.107	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
89.15.239.13	"07:41 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
141.78.228.68	"07:53 am  Wednesday January 28, 2015"	"Bunyip Fire Area +"	 -38.10	-145.71
129.82.113.145	"12:09 pm  Wednesday January 28, 2015"	"DENVER WB AP CO"	  39.77	-104.88
166.2.226.29	"01:01 pm  Wednesday January 28, 2015"	"LP Flats, Leadvile CO +"	  39.15	-106.30
166.2.22.188	"04:52 pm  Wednesday January 28, 2015"	"Trestle Ck BC +"	  48.53	-121.75
203.6.146.5	"05:29 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:11 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:13 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:14 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:15 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:16 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:17 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:17 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:18 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:19 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:19 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:27 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:27 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:28 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:28 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:29 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:29 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:30 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:31 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
203.6.146.5	"09:31 pm  Wednesday January 28, 2015"	"MOUNT CRAWFORD AU + + +"	 -34.73	-138.93
