166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:23 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:24 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:25 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:30 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"02:31 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:53 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"03:59 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"04:00 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"04:00 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"04:00 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
166.7.133.90	"04:00 pm  Tuesday January 13, 2015"	30	"Bottom Canyon +"	  47.77	 116.54
