74.111.24.235	11:27 pm  Tuesday April 29, 2014	30	12	  HUDSON 2 NY                           
74.111.24.235	11:29 pm  Tuesday April 29, 2014	30	12	  HUDSON 2 NY                           
166.7.136.77	12:42 pm  Thursday May 1, 2014	30	1	  bird +                                
166.7.136.77	12:43 pm  Thursday May 1, 2014	30	2	  bird +                                
166.7.136.77	02:41 pm  Thursday May 1, 2014	30	2	  bird +                                
166.7.123.11	03:44 pm  Tuesday May 6, 2014	30	1	  weppex +                              
166.7.123.11	03:50 pm  Tuesday May 6, 2014	30	2	  weppex +                              
115.94.17.253	06:46 pm  Tuesday May 6, 2014	30	5	  FLAGSTAFF WB AP AZ                    
115.94.17.253	06:46 pm  Tuesday May 6, 2014	30	5	  FLAGSTAFF WB AP AZ                    
166.2.15.154	11:02 am  Monday May 12, 2014	30	5	  DEADWOOD DAM ID                       
166.2.22.240	11:24 am  Thursday May 15, 2014	30	5	  RUBICON #2 CA SNOTEL                  
24.248.213.64	01:27 pm  Thursday May 15, 2014	30	74	  GILBERT AR                            
24.248.213.64	01:31 pm  Thursday May 15, 2014	30	74	  DEVILS EYEBROW2 AR +                  
5.237.80.119	04:55 am  Friday May 16, 2014	30	5	  FLAGSTAFF WB AP AZ                    
5.237.80.119	05:00 am  Friday May 16, 2014	30	5	  FLAGSTAFF WB AP AZ                    
166.7.156.149	04:07 pm  Saturday May 24, 2014	50	24	  lower elev BSS +                      
166.7.156.149	04:09 pm  Saturday May 24, 2014	50	4	  lower elev BSS +                      
166.7.156.149	04:11 pm  Saturday May 24, 2014	50	28	  mid elev BSS +                        
166.7.156.149	04:14 pm  Saturday May 24, 2014	50	24	  SP upper +                            
166.7.156.149	04:17 pm  Saturday May 24, 2014	50	24	  high elev BSS +                       
204.124.92.254	08:09 am  Thursday June 12, 2014	30	5	  GRAND JUNCTION WBAP CO                
204.124.92.254	08:29 am  Thursday June 12, 2014	30	5	  GRAND JUNCTION WBAP CO                
204.124.92.254	08:40 am  Thursday June 12, 2014	30	5	  GRAND JUNCTION WBAP CO                
204.124.92.254	08:47 am  Thursday June 12, 2014	50	5	  GRAND JUNCTION WBAP CO                
204.124.92.254	08:51 am  Thursday June 12, 2014	30	3	  GRAND JUNCTION WBAP CO                
204.124.92.254	08:52 am  Thursday June 12, 2014	30	3	  GRAND JUNCTION WBAP CO                
204.124.92.254	08:59 am  Thursday June 12, 2014	30	3	  GRAND JUNCTION WBAP CO                
204.124.92.254	09:01 am  Thursday June 12, 2014	30	1	  GRAND JUNCTION WBAP CO                
204.124.92.254	09:05 am  Thursday June 12, 2014	30	6	  GRAND JUNCTION WBAP CO                
204.124.92.254	09:06 am  Thursday June 12, 2014	30	6	  GRAND JUNCTION WBAP CO                
204.124.92.254	09:10 am  Thursday June 12, 2014	30	1	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:05 am  Friday June 13, 2014	50	1	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:12 am  Friday June 13, 2014	50	3	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:16 am  Friday June 13, 2014	50	6	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:19 am  Friday June 13, 2014	50	3	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:22 am  Friday June 13, 2014	30	3	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:25 am  Friday June 13, 2014	30	1	  GRAND JUNCTION WBAP CO                
204.124.92.254	07:27 am  Friday June 13, 2014	50	1	  GRAND JUNCTION WBAP CO                
166.7.118.45	08:46 am  Friday June 13, 2014	30	25	  SEELEY LAKE RS MT +                   
71.216.250.233	09:22 am  Wednesday June 18, 2014	50	17	  PRISM Halfway Ck (from DL) +          
71.216.250.233	09:27 am  Wednesday June 18, 2014	50	14	  PRISM Halfway Ck (from DL) +          
71.216.250.233	09:28 am  Wednesday June 18, 2014	50	14	  PRISM Halfway Ck (from DL) +          
71.216.250.233	10:29 am  Wednesday June 18, 2014	50	14	  PRISM Halfway Ck (from DL) +          
166.7.111.99	11:39 am  Thursday June 19, 2014	30	114	  KALISPELL WB AP MT                    
170.144.102.70	07:49 am  Friday June 20, 2014	30	13	  BIGFORK 12 S MT +                     
170.144.102.70	08:03 am  Friday June 20, 2014	30	13	  BIGFORK 12 S MT +                     
166.5.84.121	11:09 am  Friday June 20, 2014	30	48	  BIRMINGHAM WB AP AL                   
166.5.84.121	11:11 am  Friday June 20, 2014	30	48	  LAKEPORT CA                           
67.60.22.79	11:55 am  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	12:00 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	12:05 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	12:08 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
166.5.84.121	12:09 pm  Friday June 27, 2014	30	48	  LAKEPORT CA                           
166.5.84.121	12:12 pm  Friday June 27, 2014	30	37	  LAKEPORT CA                           
67.60.22.79	12:24 pm  Friday June 27, 2014	30	11	  COLVILLE WB AP WA +                   
67.60.22.79	12:37 pm  Friday June 27, 2014	30	2	  COLVILLE WB AP WA +                   
67.60.22.79	12:37 pm  Friday June 27, 2014	30	2	  COLVILLE WB AP WA +                   
67.60.22.79	01:12 pm  Friday June 27, 2014	30	3	  COLVILLE WB AP WA +                   
67.60.22.79	01:46 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
67.60.22.79	02:04 pm  Friday June 27, 2014	30	10	  COLVILLE WB AP WA +                   
