
209.222.203.225	"05:44 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.241	"05:45 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"05:47 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"05:48 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.226	"05:50 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.241	"05:51 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.225	"05:53 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.202	"05:53 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.202	"05:53 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.226	"05:59 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.225	"06:21 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.226	"06:29 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.226	"06:30 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.239	"07:13 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.239	"07:14 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.207	"07:40 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.207	"07:41 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.207	"09:28 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
66.243.200.40	"09:31 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
66.243.200.40	"09:31 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:53 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:58 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.221	"10:00 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.221	"10:01 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"10:02 am  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.198	"01:00 pm  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"01:05 pm  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"01:06 pm  Thursday April 11, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
136.177.10.11	"03:11 pm  Thursday April 11, 2019"	"RANGELY CO +"	  40.08	-108.80
209.222.203.245	"05:32 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.245	"05:33 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.208	"07:22 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.216	"07:22 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.228	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.203	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.216	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.208	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.222	"07:23 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.229	"07:24 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.250	"07:24 am  Friday April 12, 2019"	"WALLACE WDLND PK ID +"	  47.50	-115.88
209.222.203.203	"07:24 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.215	"07:24 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"07:25 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.222	"07:25 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.228	"07:25 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
