
128.123.249.255	"02:51 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"02:54 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"02:56 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"03:01 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"03:03 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"03:04 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"03:05 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"03:39 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
128.123.249.255	"03:40 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.103	"03:40 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
76.113.25.236	"04:15 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
73.228.13.189	"07:07 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"07:25 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"07:26 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"07:28 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"07:33 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:00 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:01 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:02 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:06 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:06 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:06 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"09:18 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"09:19 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"09:43 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"09:45 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"09:51 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"09:54 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"09:54 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"09:59 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"09:59 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:01 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:04 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:04 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:05 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:05 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:06 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:06 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:07 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:07 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:18 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:19 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:19 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:19 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:20 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:20 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"11:01 pm  Monday April 22, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
73.228.13.189	"11:15 am  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
73.228.13.189	"11:15 am  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"11:20 am  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:09 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:10 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:12 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:12 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:16 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:22 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:30 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:34 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:36 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:41 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"03:54 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:05 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:06 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:06 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:09 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:15 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:16 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:20 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:24 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"04:27 pm  Tuesday April 23, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
76.127.7.167	"06:55 pm  Tuesday April 23, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
192.88.140.11	"09:49 am  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"09:54 am  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
76.113.38.31	"12:02 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.11	"02:12 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
76.113.38.31	"04:00 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
76.127.7.167	"04:17 pm  Wednesday April 24, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
76.127.7.167	"04:22 pm  Wednesday April 24, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
76.127.7.167	"04:41 pm  Wednesday April 24, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
76.127.7.167	"04:41 pm  Wednesday April 24, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
76.127.7.167	"04:41 pm  Wednesday April 24, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
76.113.35.31	"07:07 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
97.123.34.189	"07:41 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
97.123.34.189	"07:41 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
97.123.34.189	"07:50 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
76.113.36.129	"08:25 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
97.123.34.189	"08:30 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
73.98.26.24	"08:32 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
69.254.159.141	"09:25 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
174.237.1.192	"09:34 pm  Wednesday April 24, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
97.123.83.229	"11:35 pm  Wednesday April 24, 2019"	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
192.88.140.10	"00:22 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.10	"00:26 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"06:46 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.30	"06:47 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"08:46 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:04 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
192.88.140.20	"10:05 am  Thursday April 25, 2019"	"MOUNTAIN PARK NM"	  32.95	-105.83
