
206.123.180.167	"10:38 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.173	"10:39 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:39 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.167	"10:40 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.191.246	"10:40 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:42 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:42 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:44 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:44 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"10:45 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.191.246	"10:45 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"10:46 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.191.246	"10:46 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:47 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.167	"10:48 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e +"	  47.15	 123.78
206.123.180.153	"10:48 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA prism +"	  47.11	 123.78
206.123.191.246	"10:49 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.191.246	"10:49 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.153	"10:49 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA prism +"	  47.11	 123.78
206.123.180.167	"10:49 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e +"	  47.15	 123.78
206.123.180.153	"10:50 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA prism +"	  47.11	 123.78
206.123.180.167	"10:50 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e +"	  47.15	 123.78
206.123.180.167	"10:51 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e +"	  47.15	 123.78
206.123.180.167	"10:51 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA + +"	  47.27	-123.70
206.123.191.246	"10:52 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"10:52 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.167	"10:55 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e + +"	  46.87	 123.98
206.123.180.167	"10:57 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e + +"	  46.87	 123.98
206.123.180.167	"10:57 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e + +"	  46.87	 123.98
206.123.191.246	"10:57 am  Wednesday March 20, 2019"	30	"HELENA +"	  47.11	 123.78
206.123.180.167	"10:58 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA lower e + +"	  46.87	 123.98
206.123.191.246	"11:09 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"11:10 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
170.144.229.99	"11:20 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
170.144.229.99	"11:20 am  Wednesday March 20, 2019"	30	"Cleveland Powerlines +"	  32.84	 116.65
206.123.191.246	"11:50 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA prism +"	  47.15	 123.82
206.123.180.165	"11:51 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA prism +"	  47.11	 123.78
206.123.180.151	"11:56 am  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA prism +"	  47.11	 123.78
69.166.32.188	"11:59 am  Wednesday March 20, 2019"	30	"PORTLAND WB AP OR"	  45.60	-122.60
206.123.180.150	"12:11 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.180.167	"12:14 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.191.246	"12:15 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
206.123.191.246	"12:15 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
206.123.180.167	"12:15 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA +"	  47.27	-123.70
