WD	wepp-18544	"07:16 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-18683	"07:22 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-18719	"07:22 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-18754	"07:22 pm  Wednesday November 18, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-18757	"07:22 pm  Wednesday November 18, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-18854	"07:25 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	30	silt	Bunchgrass	80	20	20	95	15	Bunchgrass	80	20	20	95	15	0	m	""
WD	wepp-18909	"07:25 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Sod	80	20	20	50	15	Sod	80	20	20	50	15	0	m	""
WD	wepp-18982	"07:26 pm  Wednesday November 18, 2015"	"GUAM WSMO PI"	50	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
WD	wepp-19031	"07:27 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-19074	"07:28 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Sod	80	20	20	50	15	Sod	80	20	20	50	15	0	m	""
WD	wepp-19115	"07:29 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	OldForest	80	20	20	95	15	OldForest	80	20	20	95	15	0	m	""
WD	wepp-19157	"07:29 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	silt	Sod	80	20	20	50	15	Sod	80	20	20	50	15	0	m	""
WD	wepp-19232	"07:31 pm  Wednesday November 18, 2015"	"RIO PIEDRAS EXP FARM PR"	30	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
