166.7.61.110	"02:19 pm  Tuesday January 17, 2012"	50	"N. Boulder +"	  46.40	-112.80
166.7.61.110	"02:31 pm  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"02:38 pm  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"02:46 pm  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
166.7.61.110	"02:46 pm  Tuesday January 17, 2012"	50	"Galena Gulch +"	  46.40	-112.80
63.199.2.42	"04:08 pm  Tuesday January 17, 2012"	30	"FOREST GLEN CA"	  40.37	-123.33
216.227.91.39	"07:47 am  Wednesday January 18, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"07:50 am  Wednesday January 18, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
216.227.91.39	"07:54 am  Wednesday January 18, 2012"	30	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
166.3.12.215	"08:01 am  Wednesday January 18, 2012"	30	"WILLIAMS AZ"	  35.25	-112.18
166.7.61.110	"08:56 am  Wednesday January 18, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"08:58 am  Wednesday January 18, 2012"	50	"S Boulder +"	  46.40	-112.80
166.7.61.110	"08:58 am  Wednesday January 18, 2012"	50	"S Boulder +"	  46.40	-112.80
166.5.29.136	"09:03 am  Wednesday January 18, 2012"	30	"Beegum WRP CA +"	  40.32	 123.06
166.5.29.136	"09:05 am  Wednesday January 18, 2012"	30	"Beegum WRP CA +"	  40.32	 123.06
166.7.61.110	"09:06 am  Wednesday January 18, 2012"	50	"N. Boulder +"	  46.40	-112.80
166.5.29.136	"09:07 am  Wednesday January 18, 2012"	30	"Beegum WRP CA +"	  40.32	 123.06
166.5.29.136	"09:07 am  Wednesday January 18, 2012"	30	"Beegum WRP CA +"	  40.32	 123.06
166.5.29.136	"09:09 am  Wednesday January 18, 2012"	30	"Beegum WRP CA +"	  40.32	 123.06
166.5.29.136	"09:09 am  Wednesday January 18, 2012"	30	"Beegum WRP CA +"	  40.32	 123.06
166.7.61.110	"09:13 am  Wednesday January 18, 2012"	50	"N. Boulder +"	  46.40	-112.80
166.7.156.146	"09:13 am  Wednesday January 18, 2012"	30	"MidBugsUnitC +"	  46.48	 115.36
166.7.156.146	"09:13 am  Wednesday January 18, 2012"	30	"MidBugsUnitC +"	  46.48	 115.36
