WD	wepp-117973	"03:38 pm  Friday May 22, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-243502	"03:36 pm  Monday May 25, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-132302	"May 28, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-203723	"03:34 pm  Friday May 29, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-230494	"06:13 am  Saturday May 30, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-244020	"11:36 am  Wednesday June 3, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-244052	"Jun 3, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-188557	"11:46 am  Saturday June 6, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-13483	"03:45 am  Sunday June 7, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-13484	"Jun 7, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-221257	"07:52 pm  Wednesday June 10, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-221275	"Jun 10, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-218914	"07:50 am  Sunday June 14, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-218957	"07:52 am  Sunday June 14, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-8377	"Jun 15, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
