WR	wepp-21097	"09:26 am  Friday August 18, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-163595	"Aug 24, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-163596	"08:38 am  Thursday August 24, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-182001	"05:15 pm  Friday August 25, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-63255	"Aug 29, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-63256	"07:57 pm  Tuesday August 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-124352	"09:17 am  Saturday September 2, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-155127	"Sep 4, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-155128	"09:10 am  Monday September 4, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-209581	"04:19 pm  Thursday September 7, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-234914	"Sep 9, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-235239	"03:23 pm  Saturday September 9, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-42585	"05:54 am  Wednesday September 13, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-176316	"Sep 15, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-176317	"04:50 am  Friday September 15, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-72667	"04:07 pm  Monday September 18, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-149880	"Sep 20, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-149881	"04:38 pm  Wednesday September 20, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-66296	"Sep 26, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-66297	"01:49 am  Tuesday September 26, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-66298	"01:49 am  Tuesday September 26, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-141010	"Oct 1, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-141011	"08:23 am  Sunday October 1, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-239783	"08:05 pm  Tuesday October 3, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-55644	"Oct 7, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-55645	"01:04 am  Saturday October 7, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-119286	"07:41 am  Monday October 9, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-28199	"Oct 12, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-28202	"01:25 pm  Thursday October 12, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-227121	"00:59 am  Tuesday October 17, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-113987	"Oct 18, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-113988	"00:36 am  Wednesday October 18, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-26910	"Oct 23, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
