78.250.220.245	"04:32 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:33 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:33 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:33 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:34 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:34 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:34 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:35 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:35 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:36 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:36 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
78.250.220.245	"04:36 am  Tuesday January 8, 2013"	30	"MOSCOW U OF I ID"	  46.73	-117.00
63.99.196.34	"09:45 am  Tuesday January 8, 2013"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
63.99.196.34	"09:48 am  Tuesday January 8, 2013"	30	"TROUT CREEK RS MT"	  47.87	-115.62
63.99.196.34	"09:48 am  Tuesday January 8, 2013"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
63.99.196.34	"09:49 am  Tuesday January 8, 2013"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
63.99.196.34	"09:50 am  Tuesday January 8, 2013"	30	"TROUT CREEK +20% +"	  47.87	-115.62
63.99.196.34	"09:51 am  Tuesday January 8, 2013"	30	"TROUT CREEK +20% +"	  47.87	-115.62
63.99.196.34	"09:52 am  Tuesday January 8, 2013"	30	"TROUT CREEK -20% +"	  47.87	-115.62
63.99.196.34	"09:53 am  Tuesday January 8, 2013"	30	"TROUT CREEK -20% +"	  47.87	-115.62
63.99.196.34	"11:44 am  Tuesday January 8, 2013"	30	"LIBBY 1 NE RS MT"	  48.40	-115.53
63.99.196.34	"11:46 am  Tuesday January 8, 2013"	30	"TROUT CREEK RS MT"	  47.87	-115.62
63.99.196.34	"11:48 am  Tuesday January 8, 2013"	30	"TROUT CREEK +20% +"	  47.87	-115.62
193.48.130.15	"01:54 am  Wednesday January 9, 2013"	30	"MOUNT SHASTA CA"	  41.32	-122.32
72.95.126.9	"08:58 am  Wednesday January 9, 2013"	1	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"08:58 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"08:59 am  Wednesday January 9, 2013"	3	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"08:59 am  Wednesday January 9, 2013"	1	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:00 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:03 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:06 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:30 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:31 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:42 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
72.95.126.9	"09:43 am  Wednesday January 9, 2013"	5	"AUGUSTA CAA AIRPORT ME"	  44.32	 -69.80
172.16.2.116	"00:42 am  Thursday January 10, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
