166.7.48.176	"06:51 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"07:03 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"07:04 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"07:20 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
166.7.48.176	"07:21 am  Thursday January 18, 2018"	30	"TROUT CREEK - MoosePk +"	  47.92	 115.24
209.193.106.158	"09:31 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:32 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:32 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:32 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:32 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:33 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:33 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:34 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"09:34 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
166.3.47.193	"09:45 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"09:46 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"09:48 am  Thursday January 18, 2018"	30	"LUNA RANGER STA NM"	  33.83	-108.93
209.193.106.158	"09:51 am  Thursday January 18, 2018"	30	"COBALT ID"	  45.08	-114.23
166.3.47.193	"09:51 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"09:51 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"09:52 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"10:53 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"10:55 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.3.47.193	"10:55 am  Thursday January 18, 2018"	50	"LUNA RANGER STA NM"	  33.83	-108.93
166.7.111.71	"02:59 pm  Thursday January 18, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"02:59 pm  Thursday January 18, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
166.7.111.71	"03:12 pm  Thursday January 18, 2018"	30	"Salish Good DistWEPP +"	  48.46	 114.59
106.120.173.144	"03:23 am  Friday January 19, 2018"	1	""		
161.7.59.24	"03:13 pm  Friday January 19, 2018"	30	"DENVER WB AP CO"	  39.77	-104.88
161.7.59.24	"03:14 pm  Friday January 19, 2018"	30	"DENVER WB AP CO"	  39.77	-104.88
161.7.59.24	"03:14 pm  Friday January 19, 2018"	30	"DENVER WB AP CO"	  39.77	-104.88
100.43.85.106	"07:10 pm  Friday January 19, 2018"	1	""		
100.43.85.106	"03:29 am  Sunday January 21, 2018"	1	""		
209.193.106.158	"01:26 pm  Monday January 22, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:38 pm  Monday January 22, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:41 pm  Monday January 22, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:47 pm  Monday January 22, 2018"	30	"COBALT ID"	  45.08	-114.23
209.193.106.158	"01:50 pm  Monday January 22, 2018"	30	"COBALT ID"	  45.08	-114.23
199.156.46.91	"09:59 am  Tuesday January 23, 2018"	10	"AUBURN CA"	  38.88	-121.07
100.43.85.106	"02:50 pm  Tuesday January 23, 2018"	1	""		
157.55.39.119	"05:10 pm  Tuesday January 23, 2018"	1	""		
117.6.127.31	"11:51 pm  Tuesday January 23, 2018"	30	"RIO PIEDRAS EXP FARM PR"	  18.42	 -66.07
147.32.134.146	"06:40 am  Wednesday January 24, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
147.32.134.146	"06:40 am  Wednesday January 24, 2018"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
166.6.191.236	"10:53 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"10:55 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"10:55 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"10:56 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"10:57 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"10:59 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"11:00 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"11:01 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"11:01 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"11:01 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"11:02 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
166.6.191.236	"11:09 am  Wednesday January 24, 2018"	30	"CASCADIA R S OR"	  44.38	-122.50
