IP	Date and time	hills	version	climate	lat	long
174.31.30.226	"03:35 am  Tuesday June 12, 2018"	12	2018.04.06	"../working/174_31_30_226_g"
184.100.48.53	"02:26 am  Wednesday June 27, 2018"	1	2018.04.06	"Cove_Fire"
184.100.48.53	"02:33 am  Wednesday June 27, 2018"	1	2018.04.06	"Cove_Fire"
184.100.48.53	"03:32 am  Wednesday June 27, 2018"	1	2018.04.06	"Cove_Fire"
184.100.48.53	"03:35 am  Wednesday June 27, 2018"	1	2018.04.06	"Cove_Fire"
63.155.234.46	"02:15 am  Thursday June 28, 2018"	1	2018.04.06	"Cove_Fire"
63.155.242.150	"10:49 am  Friday June 29, 2018"	1	2018.04.06	"Cove_Fire"
97.121.105.52	"11:25 am  Saturday June 30, 2018"	1	2018.04.06	"Cove_Fire"
97.121.102.89	"08:19 am  Monday July 9, 2018"	1	2018.04.06	"Cove_Fire"
166.7.77.219	"03:20 pm  Friday August 3, 2018"	9	2018.04.06	"Beaver_Creek_Units"
166.7.77.219	"03:22 pm  Friday August 3, 2018"	1	2018.04.06	"Humbug_Creek_Units"
166.7.77.219	"03:24 pm  Friday August 3, 2018"	2	2018.04.06	"Keep_Cool_Creek_Units"
166.7.77.219	"03:25 pm  Friday August 3, 2018"	26	2018.04.06	"Keep_Cool_Creek_Units"
166.7.77.219	"03:27 pm  Friday August 3, 2018"	26	2018.04.06	"Lincoln_Creek_Units"
166.7.77.219	"03:30 pm  Friday August 3, 2018"	2	2018.04.06	"Keep_Cool_Creek_Units"
166.7.77.219	"10:03 am  Monday August 6, 2018"	1	2018.04.06	"Humbug_Creek_Units_-_500ft_Buffer"
166.7.77.219	"10:05 am  Monday August 6, 2018"	1	2018.04.06	"Humbug_Creek_Units_-_500ft_Buffer"
166.7.77.219	"10:09 am  Monday August 6, 2018"	1	2018.04.06	"Humbug_Creek_Units_-_500ft_Buffer"
166.7.77.219	"10:21 am  Monday August 6, 2018"	1	2018.04.06	"Humbug_Creek_Units_-_500ft_Buffer"
63.155.85.242	"10:36 am  Tuesday August 21, 2018"	1	2018.04.06	"Cove_Fire"
63.155.85.242	"10:36 am  Tuesday August 21, 2018"	1	2018.04.06	"Cove_Fire"
174.31.145.120	"01:19 am  Thursday August 23, 2018"	36	2018.04.06	"../working/174_31_145_120_m"
174.31.145.120	"01:27 am  Thursday August 23, 2018"	36	2018.04.06	"../working/174_31_145_120_m"
174.31.145.120	"02:34 am  Thursday August 23, 2018"	101	2018.04.06	"Cove_Fire"
174.31.145.120	"03:09 am  Thursday August 23, 2018"	50	2018.04.06	"Cove_Fire"
174.31.145.120	"03:34 am  Thursday August 23, 2018"	31	2018.04.06	"Cove_Fire"
174.31.145.120	"03:40 am  Thursday August 23, 2018"	11	2018.04.06	"Cove_Fire"
174.31.145.120	"03:58 am  Thursday August 23, 2018"	81	2018.04.06	"Cove_Fire"
174.31.145.120	"05:29 am  Thursday August 23, 2018"	82	2018.04.06	"Cove_Fire"
67.5.110.149	"08:50 pm  Sunday August 26, 2018"	84	2018.04.06	"Cove_Fire"
174.31.18.233	"10:26 pm  Tuesday August 28, 2018"	101	2018.04.06	"Cove_Fire"
174.31.18.233	"10:49 pm  Tuesday August 28, 2018"	82	2018.04.06	"Cove_Fire"
174.31.18.233	"10:57 pm  Tuesday August 28, 2018"	11	2018.04.06	"Cove_Fire"
174.31.18.233	"11:10 pm  Tuesday August 28, 2018"	36	2018.04.06	"Cove_Fire"
174.31.18.233	"11:23 pm  Tuesday August 28, 2018"	50	2018.04.06	"Cove_Fire"
174.31.18.233	"11:47 pm  Tuesday August 28, 2018"	84	2018.04.06	"Cove_Fire"
174.31.18.233	"09:04 am  Tuesday September 4, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"09:38 am  Tuesday September 4, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"09:54 am  Tuesday September 4, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"10:18 am  Tuesday September 4, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"10:23 am  Tuesday September 4, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"11:13 am  Tuesday September 4, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"11:21 am  Tuesday September 4, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"09:41 pm  Wednesday September 5, 2018"	101	2018.04.06	"Cove_Fire"
174.31.18.233	"10:07 pm  Wednesday September 5, 2018"	82	2018.04.06	"Cove_Fire"
174.31.18.233	"10:25 pm  Wednesday September 5, 2018"	11	2018.04.06	"Cove_Fire"
174.31.18.233	"10:32 pm  Wednesday September 5, 2018"	36	2018.04.06	"Cove_Fire"
174.31.18.233	"10:42 pm  Wednesday September 5, 2018"	50	2018.04.06	"Cove_Fire"
174.31.18.233	"11:19 pm  Wednesday September 5, 2018"	84	2018.04.06	"Cove_Fire"
174.31.18.233	"11:46 pm  Wednesday September 5, 2018"	82	2018.04.06	"Cove_Fire"
63.155.22.92	"08:30 am  Thursday September 13, 2018"	1	2018.04.06	"Cove_Fire"
63.155.22.92	"08:31 am  Thursday September 13, 2018"	1	2018.04.06	"Cove_Fire"
63.155.22.92	"08:32 am  Thursday September 13, 2018"	1	2018.04.06	"Cove_Fire"
174.31.18.233	"03:54 pm  Saturday September 29, 2018"	36	2018.04.06	"Cove_Fire"
174.31.18.233	"00:21 am  Monday October 1, 2018"	101	2018.04.06	"Cove_Fire"
174.31.18.233	"00:53 am  Monday October 1, 2018"	101	2018.04.06	"Cove_Fire"
174.31.18.233	"05:28 pm  Monday October 1, 2018"	82	2018.04.06	"Cove_Fire"
174.31.18.233	"05:37 pm  Monday October 1, 2018"	11	2018.04.06	"Cove_Fire"
174.31.18.233	"06:02 pm  Monday October 1, 2018"	36	2018.04.06	"Cove_Fire"
174.31.18.233	"06:06 pm  Monday October 1, 2018"	50	2018.04.06	"Cove_Fire"
174.31.18.233	"06:17 pm  Monday October 1, 2018"	84	2018.04.06	"Cove_Fire"
174.31.18.233	"09:31 pm  Monday October 1, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"09:33 pm  Monday October 1, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"09:40 pm  Monday October 1, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"09:52 pm  Monday October 1, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"03:24 pm  Tuesday October 2, 2018"	101	2018.04.06	"Cove_Fire"
174.31.18.233	"04:47 pm  Tuesday October 2, 2018"	82	2018.04.06	"Cove_Fire"
174.31.18.233	"05:09 pm  Tuesday October 2, 2018"	101	2018.04.06	"Cove_Fire"
174.31.18.233	"05:18 pm  Tuesday October 2, 2018"	11	2018.04.06	"Cove_Fire"
174.31.18.233	"05:19 pm  Tuesday October 2, 2018"	36	2018.04.06	"Cove_Fire"
174.31.18.233	"05:24 pm  Tuesday October 2, 2018"	50	2018.04.06	"Cove_Fire"
174.31.18.233	"05:26 pm  Tuesday October 2, 2018"	84	2018.04.06	"Cove_Fire"
174.31.18.233	"05:32 pm  Tuesday October 2, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"05:34 pm  Tuesday October 2, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"05:37 pm  Tuesday October 2, 2018"	34	2018.04.06	"Cove_Fire"
174.31.18.233	"05:40 pm  Tuesday October 2, 2018"	54	2018.04.06	"Cove_Fire"
174.31.18.233	"05:43 pm  Tuesday October 2, 2018"	82	2018.04.06	"Cove_Fire"
174.31.18.233	"05:48 pm  Tuesday October 2, 2018"	82	2018.04.06	"Cove_Fire"
174.31.18.233	"05:53 pm  Tuesday October 2, 2018"	36	2018.04.06	"Cove_Fire"
174.31.18.233	"06:00 pm  Tuesday October 2, 2018"	50	2018.04.06	"Cove_Fire"
166.7.69.139	"03:23 pm  Tuesday October 23, 2018"	16	2018.04.06	"Montana"
166.7.69.139	"03:23 pm  Tuesday October 23, 2018"	16	2018.04.06	"Montana"
166.7.69.139	"03:28 pm  Tuesday October 23, 2018"	16	2018.04.06	"Montana"
166.7.69.139	"03:28 pm  Tuesday October 23, 2018"	16	2018.04.06	"Montana"
64.146.188.191	"07:33 pm  Saturday October 27, 2018"	10	2018.04.06	"Cove_Fire"
64.146.188.191	"07:53 pm  Saturday October 27, 2018"	10	2018.04.06	"Cove_Fire"
64.146.188.191	"08:04 pm  Saturday October 27, 2018"	10	2018.04.06	"Cove_Fire"
64.146.188.191	"07:02 am  Monday October 29, 2018"	183	2018.04.06	"Cove_Fire"
64.146.188.191	"07:26 am  Monday October 29, 2018"	51	2018.04.06	"Cove_Fire"
64.146.188.191	"07:31 am  Monday October 29, 2018"	51	2018.04.06	"Cove_Fire"
64.146.188.191	"07:44 am  Monday October 29, 2018"	100	2018.04.06	"Cove_Fire"
64.146.188.191	"07:48 am  Monday October 29, 2018"	100	2018.04.06	"Cove_Fire"
64.146.188.191	"07:54 am  Monday October 29, 2018"	100	2018.04.06	"Cove_Fire"
64.146.188.191	"08:04 am  Monday October 29, 2018"	32	2018.04.06	"Cove_Fire"
64.146.188.191	"08:18 am  Monday October 29, 2018"	183	2018.04.06	"Sander_Grade_Road"
64.146.188.191	"08:31 am  Monday October 29, 2018"	183	2018.04.06	"Sander_Grade_Road"
64.146.188.191	"08:36 am  Monday October 29, 2018"	183	2018.04.06	"Sander_Grade_Road"
64.146.188.191	"08:44 am  Monday October 29, 2018"	183	2018.04.06	"Sander_Grade_Road"
166.2.64.145	"05:48 am  Thursday November 8, 2018"	4	2018.04.06	"Cove_Fire"
166.3.199.159	"09:15 am  Thursday November 15, 2018"	2	2018.04.06	"Cove_Fire"
166.3.199.159	"09:17 am  Thursday November 15, 2018"	2	2018.04.06	"Cove_Fire"
166.3.199.159	"09:18 am  Thursday November 15, 2018"	2	2018.04.06	"Cove_Fire"
166.3.199.159	"09:18 am  Thursday November 15, 2018"	2	2018.04.06	"Cove_Fire"
166.3.199.159	"09:20 am  Thursday November 15, 2018"	2	2018.04.06	"Cove_Fire"
166.7.112.39	"09:30 am  Friday December 14, 2018"	10	2018.04.06	"Hell_Roaring_Basin"
166.7.112.39	"09:58 am  Friday December 14, 2018"	10	2018.04.06	"Hell_Roaring_Basin"
